Tue Mar 21 13:23:39 2023    ./matching/matching.prof

         12275637 function calls in 4.862 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1816    2.530    0.001    4.580    0.003 {method 'put_disk' of 'strategy.minmaxcalc.MinmaxC' objects}
  2916354    1.170    0.000    2.058    0.000 bitothello.py:89(judge_game)
  5839989    0.575    0.000    0.575    0.000 {method 'reversible_area' of 'bitboard.bitcalc.BitBoardC' objects}
  2916321    0.314    0.000    0.316    0.000 {built-in method builtins.sum}
   351896    0.087    0.000    0.087    0.000 {built-in method builtins.pow}
     1789    0.030    0.000    0.068    0.000 minimize.py:10(put_disk)
     1807    0.028    0.000    0.065    0.000 maximize.py:10(put_disk)
     7401    0.021    0.000    4.838    0.001 bitothello.py:133(process_game)
     1788    0.020    0.000    0.053    0.000 random.py:11(put_disk)
     7200    0.015    0.000    0.024    0.000 bitothello.py:50(play_turn)
    34168    0.009    0.000    0.009    0.000 {method 'simulate_play' of 'bitboard.bitcalc.BitBoardC' objects}
       38    0.006    0.000    0.006    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     7401    0.005    0.000    0.006    0.000 bitothello.py:79(update_count)
     7200    0.005    0.000    4.770    0.001 strategy.py:40(selecter)
     5384    0.004    0.000    0.006    0.000 random.py:237(_randbelow_with_getrandbits)
      120    0.004    0.000    4.844    0.040 matching.py:43(set_match)
     5384    0.004    0.000    0.011    0.000 random.py:343(choice)
    34369    0.004    0.000    0.004    0.000 {method 'count_disks' of 'bitboard.bitcalc.BitBoardC' objects}
    45360    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
     7521    0.003    0.000    0.003    0.000 __init__.py:1689(isEnabledFor)
     7401    0.003    0.000    0.006    0.000 __init__.py:1424(debug)
    11829    0.002    0.000    0.003    0.000 utils.py:330(<genexpr>)
     7200    0.002    0.000    0.002    0.000 {method 'is_reversible' of 'bitboard.bitcalc.BitBoardC' objects}
     7200    0.001    0.000    0.001    0.000 {method 'update_board' of 'bitboard.bitcalc.BitBoardC' objects}
     9789    0.001    0.000    0.001    0.000 {method 'getrandbits' of '_random.Random' objects}
     7281    0.001    0.000    0.001    0.000 {method 'turn_playable' of 'bitboard.bitcalc.BitBoardC' objects}
