Fri Mar 24 02:28:37 2023    ./matching/matching.prof

         83749 function calls in 17.593 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1207   17.529    0.015   17.529    0.015 {method 'put_disk' of 'strategy.minmaxcalc.MinmaxC' objects}
     1847    0.015    0.000   17.573    0.010 {method 'process_game' of 'bitboard.bitothello.OthelloGameC' objects}
    37952    0.010    0.000    0.010    0.000 {built-in method builtins.pow}
      593    0.010    0.000    0.023    0.000 random.py:11(put_disk)
       54    0.004    0.000    0.004    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     1800    0.003    0.000   17.555    0.010 strategy.py:43(selecter)
       30    0.002    0.000   17.575    0.586 matching_ts.py:33(set_match)
     1847    0.002    0.000    0.003    0.000 __init__.py:1424(debug)
     1877    0.001    0.000    0.001    0.000 __init__.py:1689(isEnabledFor)
      593    0.001    0.000    0.001    0.000 random.py:237(_randbelow_with_getrandbits)
      593    0.001    0.000    0.002    0.000 random.py:343(choice)
     4930    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
     2670    0.001    0.000    0.001    0.000 mathematics.py:39(__init__)
     4482    0.001    0.000    0.001    0.000 utils.py:330(<genexpr>)
       30    0.001    0.000    0.010    0.000 __init__.py:433(rate)
      240    0.001    0.000    0.002    0.000 factorgraph.py:160(update)
      360    0.001    0.000    0.002    0.000 factorgraph.py:47(update_message)
     1020    0.001    0.000    0.001    0.000 mathematics.py:64(__truediv__)
      480    0.000    0.000    0.001    0.000 factorgraph.py:41(delta)
       30    0.000    0.000    0.008    0.000 __init__.py:379(run_schedule)
      123    0.000    0.000    0.001    0.000 {built-in method builtins.sum}
      240    0.000    0.000    0.001    0.000 factorgraph.py:72(__init__)
      120    0.000    0.000    0.001    0.000 factorgraph.py:52(update_value)
      480    0.000    0.000    0.000    0.000 mathematics.py:60(__mul__)
       11    0.000    0.000    0.001    0.000 std.py:355(format_meter)
     4449    0.000    0.000    0.000    0.000 {built-in method unicodedata.east_asian_width}
      120    0.000    0.000    0.001    0.000 factorgraph.py:144(up)
      220    0.000    0.000    0.000    0.000 backends.py:56(erfc)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      210    0.000    0.000    0.000    0.000 factorgraph.py:32(__init__)
      944    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
