Fri Mar 17 21:13:11 2023    ./matching/matching.prof

         74417597 function calls (71508728 primitive calls) in 112.435 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2910670   40.080    0.000   40.625    0.000 minmax.py:44(evaluate_value)
  6927668   32.237    0.000   32.237    0.000 bitboard.py:148(reversible_area)
  2942735   12.769    0.000   19.937    0.000 bitboard.py:83(simulate_play)
2910670/1801   10.608    0.000  111.631    0.062 minmax.py:62(min_max)
 34894113    7.168    0.000    7.168    0.000 bitboard.py:53(_check_surround)
  5885880    3.371    0.000    3.371    0.000 bitboard.py:30(_bit_count)
  2915975    2.346    0.000   29.890    0.000 bitothello.py:88(judge_game)
  2942940    2.122    0.000    5.493    0.000 bitboard.py:134(count_disks)
  2910670    0.545    0.000    0.545    0.000 minmax.py:38(touch_border)
  2915948    0.361    0.000    0.364    0.000 {built-in method builtins.sum}
  5227360    0.310    0.000    0.310    0.000 {method 'append' of 'list' objects}
   544272    0.213    0.000    2.668    0.000 bitboard.py:272(turn_playable)
   355006    0.087    0.000    0.087    0.000 {built-in method builtins.pow}
     1776    0.034    0.000    0.191    0.000 minimize.py:10(put_disk)
     1808    0.034    0.000    0.184    0.000 maximize.py:10(put_disk)
     7379    0.029    0.000  112.398    0.015 bitothello.py:132(process_game)
     7174    0.021    0.000    0.118    0.000 bitothello.py:49(play_turn)
     1789    0.019    0.000    0.051    0.000 random.py:11(put_disk)
       40    0.011    0.000    0.011    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      120    0.006    0.000  112.408    0.937 matching.py:43(set_match)
     7379    0.006    0.000    0.022    0.000 bitothello.py:78(update_count)
     1801    0.006    0.000  111.637    0.062 minmax.py:158(put_disk)
     7174    0.006    0.000  112.069    0.016 strategy.py:40(selecter)
     5373    0.005    0.000    0.008    0.000 random.py:237(_randbelow_with_getrandbits)
       32    0.005    0.000    0.005    0.000 std.py:104(acquire)
     7174    0.005    0.000    0.039    0.000 bitboard.py:247(is_reversible)
     7619    0.005    0.000    0.005    0.000 __init__.py:1689(isEnabledFor)
     5373    0.004    0.000    0.013    0.000 random.py:343(choice)
     7379    0.003    0.000    0.008    0.000 __init__.py:1424(debug)
     7174    0.002    0.000    0.002    0.000 bitboard.py:123(update_board)
    12644    0.002    0.000    0.003    0.000 utils.py:330(<genexpr>)
     9720    0.001    0.000    0.001    0.000 {method 'getrandbits' of '_random.Random' objects}
    12551    0.001    0.000    0.001    0.000 {built-in method unicodedata.east_asian_width}
     5373    0.001    0.000    0.001    0.000 {method 'bit_length' of 'int' objects}
     5477    0.001    0.000    0.001    0.000 {built-in method builtins.len}
       31    0.001    0.000    0.005    0.000 std.py:355(format_meter)
      120    0.001    0.000    0.001    0.000 bitothello.py:18(__init__)
     3576    0.001    0.000    0.001    0.000 {method 'append' of 'collections.deque' objects}
       60    0.000    0.000    0.001    0.000 minmax.py:36(<listcomp>)
       60    0.000    0.000    0.023    0.000 std.py:1212(update)
      248    0.000    0.000    0.001    0.000 {method 'format' of 'str' objects}
      480    0.000    0.000    0.002    0.000 strategy.py:28(set_strategy)
     1801    0.000    0.000    0.000    0.000 bitboard.py:292(return_board)
      240    0.000    0.000    0.001    0.000 strategy.py:23(__init__)
        1    0.000    0.000  112.435  112.435 matching.py:117(runby1)
