Tue Mar 28 00:11:28 2023    ./matching/matching.prof

         475538238 function calls (475538189 primitive calls) in 250.674 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)       
104047921   31.831    0.000   31.831    0.000 {method 'get' of 'dict' objects}  5996785   16.668    0.000  125.528    0.000 qlearning.py:149(put_disk)      
  5996785   14.650    0.000   59.247    0.000 qlearning.py:121(select_action) 
 12282539   14.022    0.000  162.754    0.000 {method 'process_game' of 'bitboard.bitothello.OthelloGameC' objects}
  5397496   12.959    0.000   28.422    0.000 qlearning.py:140(<dictcomp>)    
  5996785   11.131    0.000   41.486    0.000 qlearning.py:89(update_q_value) 
  5962995   10.066    0.000   25.671    0.000 qlearning.py:113(<listcomp>)    
 17990056    6.817    0.000    6.817    0.000 {method 'reversible_area_list' of 'bitboard.bitothello.OthelloGameC' objects}
 11993279    5.964    0.000    8.334    0.000 random.py:237(_randbelow_with_getrandbits)
 11993271    5.136    0.000  143.626    0.000 strategy.py:74(selecter)        
 11993279    4.894    0.000   14.132    0.000 random.py:343(choice)
  1600000    4.746    0.000    6.717    0.000 factorgraph.py:72(__init__)     
 17800000    4.262    0.000    4.262    0.000 mathematics.py:39(__init__)     
  6800000    4.049    0.000    5.224    0.000 mathematics.py:64(__truediv__)  
  2400000    4.044    0.000   12.253    0.000 factorgraph.py:47(update_message)
  1600000    4.024    0.000   14.447    0.000 factorgraph.py:160(update)      
 14956597    3.888    0.000    3.888    0.000 {built-in method builtins.max}  
   200000    3.570    0.000  169.561    0.001 QL_training.py:16(set_match)    
  5996486    3.560    0.000   12.962    0.000 random.py:32(put_disk)
        2    3.543    1.772    3.543    1.772 {built-in method _pickle.dump}  
       20    3.313    0.166    3.313    0.166 {built-in method numpy.array}   
 12282539    3.172    0.000    5.106    0.000 __init__.py:1424(debug)
  5389018    3.096    0.000    3.096    0.000 qlearning.py:147(<listcomp>)    
   200000    3.077    0.000   67.724    0.000 __init__.py:433(rate)
       20    2.608    0.130    2.608    0.130 QL_training.py:133(<listcomp>)  
